Incident No.,Incident Type,Incident Date,Discovery Date,Country Role,Region,Country,City/Region,Location Type,Origin if known,Transit if known,Destination if known,Report grading,Verif means,Ultimate source type,Ult. Verif. Source,Ult. Source Reliability,Orig. Source Type,Medium,Original Source,Day,Month,Year,Day (+/-),Month (+/-),# Cheetahs,Units,Incident Description,Confiscated,Surrendered,Alive,Died,LTF/ UNK Fate,Action Taken,Outcome,Detecting agency,POI Assigned ID,Other info / URL
PT-2015-303,Possession/trade,17/09/2015,15/10/2015,T/D,Middle East,Saudi Arabia,Taif (Yamama),Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,17,9,2015,,,1,Live,(Code 144-005): Age: 6M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-144,
PT-2015-304,Possession/trade,17/09/2015,10/07/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,17,9,2015,,,2,Live,"(Code 116-001): Age: 2M; Sex: 1M, 1F; Price: 30000 SAR",0,0,0,0,2,,,Does not apply,POI/WB-116,
PT-2015-305,Possession/trade,19/09/2015,19/09/2015,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,19,9,2015,,,3,Live,"(Code 120-059): Age: 2.5M; Sex: 2M,1F; Price: 27000 SAR",0,0,0,0,3,,,Does not apply,POI/WB-120,
PT-2015-306,Possession/trade,19/09/2015,22/09/2015,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,19,9,2015,,,1,Live,(Code 106-001): Age: 2M1W; Sex: 1U; Price: 28000 SAR,0,0,0,0,1,"7-Oct-15: Shared dealer's info with CITES National MAs, Enforcement and INTERPOL.",Unknown outcome.,Does not apply,POI/WB-106,
PT-2015-307,Possession/trade,19/09/2015,24/05/2016,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,19,9,2015,,,4,Live,(Code 046-006): Age: 2-3M; Sex: 4U; Price: 30000 SAR,0,0,0,0,4,,,Does not apply,POI/WB-046,
PT-2015-308,Possession/trade,19/09/2015,13/01/2017,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,19,9,2015,,,1,Live,(Code 155-009): Age: Adult; Sex: 1U; Price: 2500-3500 KWD,0,0,0,0,1,,,Does not apply,POI/WB-155,
PT-2015-309,Possession/trade,21/09/2015,22/09/2015,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,21,9,2015,,,1,Live,(Code 107-001): Age: 8M; Sex: 1U; Price: UNK,0,0,0,0,1,"7-Oct-15: Shared dealer's info with CITES National MAs, Enforcement and INTERPOL.",Unknown outcome.,Does not apply,POI/WB-107,
PT-2015-310,Possession/trade,21/09/2015,23/08/2016,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,21,9,2015,,,1,Live,(Code 312-002): Age: 2M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-312,
PT-2015-311,Possession/trade,22/09/2015,04/08/2017,D,Middle East,UAE,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,22,9,2015,,,2,Live,(Code 386-003): Age: 3-4M; Sex: 2U; Price: UNK,0,0,0,0,2,,,Does not apply,POI/WB-386,
PT-2015-312,Possession/trade,23/09/2015,02/10/2015,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image search,E,Original source,F,C,Social Media,twitter.com,23,9,2015,,,1,Live,(Code 347-001): (At least 1 cub): Age: 10M; Sex: Unk; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-347,
PT-2015-313,Possession/trade,24/09/2015,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),24,9,2015,,,1,Live,(Code 214-001): Age: 3M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-214,
PT-2015-314,Possession/trade,24/09/2015,29/12/2015,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,24,9,2015,,,10,Live,(Code 316-008): Age: 2-3M; Sex: 10U; Price: 55000 AED,0,0,0,0,10,,,Does not apply,POI/WB-316,
PT-2015-315,Possession/trade,26/09/2015,13/03/2017,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,26,9,2015,,,1,Live,(Code 321-001): Age: 3M; Sex: 1F; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-321,
PT-2015-316,Seizure,26/09/2015,02/03/2019,T/D,Middle East,Saudi Arabia,,Unknown,,,,B,Zoo or rescue center report,B,Original source,A,C,Database,Int'l Cheetah Studbook (2018),26,9,2015,,,1,Live,~1-mo female cub reported as rescued,1,0,1,0,0,,Studbook # on file.,Unknown,Unknown,https://cheetah.org/resource-library/2018-international-studbook/
PT-2015-317,Possession/trade,26/09/2015,01/10/2020,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image,E,Original source,F,C,eCommerce,haraj.com.sa,26,9,2015,,,1,Live,(Code 611-001): Age: 2M; Sex: 1U; Price: 30000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-611,
PT-2015-318,Possession/trade,26/09/2015,09/10/2020,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image,E,Original source,F,C,eCommerce,haraj.com.sa,26,9,2015,,,2,Live,(Code 573-002) Embalmed. Age: 8M; Sex: 1U; Price: 2000 SAR,0,0,0,2,0,,,Does not apply,POI/WB-573,
PT-2015-319,Possession/trade,27/09/2015,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),27,9,2015,,,1,Live,(Code 223-001): Age: 2-3M; Sex: 1U; Price: 2800 KWD,0,0,0,0,1,,,Does not apply,POI/WB-223,
PT-2015-320,Possession/trade,27/09/2015,16/08/2016,D,Middle East,Kuwait,,Online,,,,D,Image search,E,Original source,F,C,Phone App,4sale via research volunteer (25),27,9,2015,,,1,Live,(Code 222-001): Age: 2M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-222,
PT-2015-321,Possession/trade,28/09/2015,28/09/2015,D,Middle East,Qatar,,Online,,,,E,Unable to verify,E,Original source,F,C,eCommerce,mzadqatar.com,28,9,2015,,,2,Live,(Code 293-001): Age: cubs; Sex: 2U; Price: 50000 QAR,0,0,0,0,2,,,Does not apply,POI/WB-293,
PT-2015-322,Possession/trade,28/09/2015,14/08/2016,D,Middle East,Qatar,,Online,,,,D,Image search,E,Original source,F,C,eCommerce,mzadqatar.com,28,9,2015,,,1,Live,(Code 292-003): Age: 2.5M; Sex: 1U; Price: 50000 QAR,0,0,0,0,1,,,Does not apply,POI/WB-292,
PT-2015-323,Possession/trade,28/09/2015,22/08/2016,D,Middle East,UAE,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,28,9,2015,,,2,Live,(Code 307-002): Age: 2M; Sex: 2U; Price: UNK,0,0,0,0,2,,,Does not apply,POI/WB-307,
PT-2015-324,Possession/trade,28/09/2015,12/01/2017,T/D,Middle East,Saudi Arabia,Mecca,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,28,9,2015,,,1,Live,(Code 120-060): Age: 3M; Sex: 1U; Price: 28000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-120,
PT-2015-325,Possession/trade,28/09/2015,13/01/2017,D,Middle East,Qatar,,Online,,,,D,Unable to verify. Post deleted.,E,Original source,F,C,Social Media,instagram.com,28,9,2015,,,1,Live,(Code 284-003): Age: Unk; Sex: 1U; Price: 50000 QAR,0,0,0,0,1,,,Does not apply,POI/WB-284,
PT-2015-326,Possession/trade,29/09/2015,01/09/2016,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,29,9,2015,,,1,Live,(Code 034-001): Age: 6M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-034,
PT-2015-327,Possession/trade,29/09/2015,07/01/2019,D,Middle East,Bahrain,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,29,9,2015,,,1,Live,(Code 002-001): Age: 4M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-002,
PT-2015-328,Possession/trade,30/09/2015,12/01/2017,T/D,Middle East,Saudi Arabia,Mecca,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,30,9,2015,,,1,Live,(Code 120-061): Age: 3M; Sex: 1U; Price: 30000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-120,
PT-2015-329,Possession/trade,01/10/2015,05/01/2017,D,Middle East,Qatar,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,1,10,2015,,,1,Live,(Code 283-009): Age: 2M; Sex: 1U; Price: no sale mentioned,0,0,0,0,1,,,Does not apply,POI/WB-283,
PT-2015-330,Posession/trade,01/10/2015,11/07/2020,T/D,Middle East,Saudi Arabia,Taif,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,1,10,2015,,,1,Live,(Code 545-001): Age: 3M; Sex: 1U; Price: Unk,0,0,0,0,1,,,Does not apply,POI/WB-545,
PT-2015-331,Posession/trade,05/10/2015,18/01/2020,T/D,Middle East,Saudi Arabia,Jeddah,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,5,10,2015,,,2,Live,"(Code 540-001): Age: 3M; Sex: 1M,1F; Price: 45000 SAR",0,0,0,0,2,,,Does not apply,POI/WB-540,
PT-2015-332,Possession/trade,06/10/2015,26/03/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,6,10,2015,,,1,Live,(Code 023-005): Age: 3M; Sex: 1M; Price: 32000 SAR (sold),0,0,1,0,0,,Sold.,Does not apply,POI/WB-023,
PT-2015-333,Possession/trade,08/10/2015,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,8,10,2015,,,1,Live,(Code 166-031): Age: 6M; Sex: 1U; Price: 2000 KWD,0,0,0,0,1,,,Does not apply,POI/WB-166,
PT-2015-334,Possession/trade,09/10/2015,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Phone App,4sale via research volunteer (25),9,10,2015,,,1,Live,(Code 171-003): Age: 2Y; Sex: 1M; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-171,
PT-2015-335,Possession/trade,09/10/2015,14/12/2015,D,Middle East,Kuwait,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Phone App,4sale via research volunteer (25),9,10,2015,,,7,Live,(Code 171-004): Age: 3M; Sex: 7U; Price: UNK,0,0,0,0,7,,,Does not apply,POI/WB-171,
PT-2015-336,Possession/trade,10/10/2015,15/12/2015,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,10,10,2015,,,1,Live,(Code 120-062): Age: 3M; Sex: 1U; Price: 33000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-120,
PT-2015-337,Possession/trade,13/10/2015,11/01/2016,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,13,10,2015,,,1,Live,(Code 040-002): Age: 6-7M?; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-040,
PT-2015-338,Possession/trade,14/10/2015,12/08/2016,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,14,10,2015,,,1,Live,(Code 015-003): Age: 7M; Sex: 1U; Price: 30000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-015,
PT-2015-339,Possession/trade,15/10/2015,08/05/2016,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,15,10,2015,,,1,Live,(Code 324-002): Age: 2-3M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-324,
PT-2015-340,Possession/trade,16/10/2015,16/10/2015,O/T,East Africa,Somalia,Somalia (Bulo Hawo or Bula-hawa),Rural area,,Somalia (Bosaso),Gulf States,B,Unable to confirm.,A,Original source,B,B,Email,CITES MA,16,10,2015,-15,,UNK,Live,"""Informal information which i recieved from a person in Bulo Hawo is telling cups were sold by hunting gangs and swiftly transported  to the port of Bossaso in Punt land and final destination  will be in Gulf countries""",0,0,0,0,UNK,,,Does not apply,Unknown,
PT-2015-341,Possession/trade,18/10/2015,08/08/2016,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,18,10,2015,,,2,Live,(Code 068-009): Age: 3M; Sex: 2U; Price: UNK,0,0,0,0,2,,,Does not apply,POI/WB-068,
PT-2015-342,Possession/trade,25/10/2015,01/11/2015,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,25,10,2015,,,5,Live,(Code 316-009): Age: 4-5M?; Sex: 5U; Price: 25000 AED,0,0,0,0,5,,,Does not apply,POI/WB-316,
PT-2015-343,Possession/trade,28/10/2015,26/12/2016,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,28,10,2015,,,1,Live,(Code 134-022): Age: 5M; Sex: 1U; Price: 27000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-134,
PT-2015-344,Posession/trade,29/10/2015,11/07/2020,T/D,Middle East,Saudi Arabia,Jizan or Jazan,Online,,,,D,Image search,E,Original source,F,C,Social Media,instagram.com,29,10,2015,,,2,Live,(Code 546-001): Age: 2-4M; Sex: 2U; Price: Unk,0,0,0,0,2,,,Does not apply,POI/WB-546,
PT-2015-345,Possession/trade,30/10/2015,11/01/2017,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,30,10,2015,,,2,Live,(Code 018-013): Age: 2-3M; Sex: 2U; Price: UNK,0,0,0,0,2,,,Does not apply,POI/WB-018,
PT-2015-346,Possession/trade,31/10/2015,31/10/2015,T/D,Middle East,Saudi Arabia,Buraydah (AlQassim),Mosque,,,,B,Video,C,Original source,B,D,Whatsapp,Confidential informant (02),31,10,2015,,,1,Live,"Cheetah found at mosque, declawed and filed down teeth in the Buraida neighborhood of AlQseem. Cheetah was for sale.",0,0,1,0,0,,Returned to owner (name on file),Does not apply,POI-110,http://www.canada.com/story.html?id=424b320f-458e-4bd4-954b-510d1bff978f
PT-2015-347,Possession/trade,31/10/2015,31/10/2015,O,Southern Africa,South Africa,,Breeder,,,UAE (Dubai),D,Unable to verify,D,Original source,B,D,Whatsapp,Confidential informant (02),31,10,2015,,,1,Live,South African breeder offered a cheetah for sale for 90000 AED (25000 USD). Larger exporters of cheetahs in the world doing mostly illegal business.,0,0,0,0,1,,,Does not apply,POI-91,
PT-2015-348,Possession/trade,31/10/2015,31/10/2015,D,Middle East,UAE,Dubai,Private zoo,,,,A,Direct,C,Owner,B,D,Whatsapp,Confidential informant (02),31,10,2015,,-2,16,Live,Reported by owner. Bought because cubs were in bad shape. There were 2 prior to these and one died. Ten were purchased in August from Somalis for 40000 AED. Price in Dubai is 50000 AED each.,0,0,15,1,0,,,Does not apply,Unknown,
PT-2015-349,Possession/trade,31/10/2015,31/10/2015,D,Middle East,UAE,Dubai,WhatsApp group,,,,D,Dealer's page,E,Original source,B,D,Phone App,WhatsApp chat group via confidential informant (02),31,10,2015,,,10,Live,20 cheetahs being offered for sale in Dubai. 10 being sold by POI/WB316 (entered separately).,0,0,0,0,10,,,Does not apply,Unknown,
PT-2015-350,Possession/trade,31/10/2015,31/10/2015,T,Middle East,Yemen,,WhatsApp group,,,,E,Unable to verify,C,Original source,B,D,Phone App,WhatsApp chat group via confidential informant (02),31,10,2015,,-1,5,Live,5-mo old cubs shot in Yemen.,0,0,0,5,0,,No further details are known.,Does not apply,Unknown,
PT-2015-351,Possession/trade,31/10/2015,12/01/2017,T/D,Middle East,Saudi Arabia,Mecca,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,instagram.com,31,10,2015,,,4,Live,(Code 124-002): Age: 3-4M; Sex: 4U; Price: 28000 SAR,0,0,0,0,4,,,Does not apply,POI/WB-124,
