Incident No.,Incident Type,Incident Date,Discovery Date,Country Role,Region,Country,City/Region,Location Type,Origin if known,Transit if known,Destination if known,Report grading,Verif means,Ultimate source type,Ult. Verif. Source,Ult. Source Reliability,Orig. Source Type,Medium,Original Source,Day,Month,Year,Day (+/-),Month (+/-),# Cheetahs,Units,Incident Description,Confiscated,Surrendered,Alive,Died,LTF/ UNK Fate,Action Taken,Outcome,Detecting agency,POI Assigned ID,Other info / URL
PT-2010-001,Seizure,13/01/2010,27/08/2020,D,Europe,Spain,,Unknown,,E Europe,,D,Invest. report,C,El Mundo (ES),C,C,Media,24minutes.es,13,1,2010,,-1,1,Live,"cheetah, lions,  tiger, Iberian wolf, European Lynx, 3 pumas, eagle and falcons seized. Animals were transported to Spain from Eastern Europe by land under terrible conditions destined forr canned hunting. Operation was launched after an Iberian wolf was offered for sale on the internet. Network was operating in 8 provinces of Spain. ",1,0,1,0,0,"Confiscated by SEPRONA as part of Operation ""Lobezno""",Eight people who sold wildlife products on the internet were arrested. Article provides data on detainees.,SEPRONA (Nature Protection Service),Unknown x 8,"https://www.laregion.es/articulo/galicia/desarticulada-red-traficaba-especies-protegidas-comunidades-ellas-galicia/20100114131027109630.html, https://www.ecoticias.com/naturaleza/21484/noticias-de-peligro-de-extincion-bosque-arboleda-selva-plantas-incendios-fuego-humedales-forestal-medio-medio-ambiente-medioambiente-medioambiental-renovables-marm, https://www.elmundo.es/suplementos/cronica/2010/747/1265497203.html"
PT-2010-002,Seizure,14/01/2010,23/10/2015,O,East Africa,Kenya,Mombasa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,14,1,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,"1 arrested, 1  prosecuted for Illegal  possession and dealing.  1 given 18 months imprisonment or Kshs 63,000 in default",Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-003,Seizure,31/01/2010,28/08/2012,D,Middle East,UAE,Ghowaifat,Border,,,,A,Seizure,A,CITES Natl Authority,A,C,Web site/Direct,"CITES Trade DB, CITES MA",31,1,2010,,-1,5,Live,Cheetahs from XX confiscated by Ministry of Environment and Water,5,0,0,0,5,"SC65 Doc. 39 (Rev. 2), Addendum. 15 more on report listed on 11 June 2010.
",,Ministry of Environment and Water,Unknown,
PT-2010-004,Possession/trade,03/02/2010,24/01/2012,D,Middle East,UAE,Sharjah,Unknown,,,,B,Zoo or rescue center report,B,Original source,A,C,Database,Int'l Cheetah Studbook (2010),3,2,2010,,,1,Live,18-mo cheetah of unknown origin transferred to zoo,0,0,1,0,0,,Studbook # on file. Not reported as confiscation.,Does not apply,Unknown,https://cheetah.org/resource-library/2010-international-cheetah-studbook/
PT-2010-005,Seizure,11/02/2010,13/09/2010,O,Southern Africa,Namibia,Khorixas,Rural area,,,,A,Direct,C,Original source,A,C,Annual Report,CCF Annual Report 2010,11,2,2010,,,1,Live,approx. 3 months old) confiscated from private individual by the Khorixas Ministry of Environment and Tourism (MET),1,0,1,0,0,,Transferred to rescue center.,Khorixas Ministry of Environment and Tourism (MET),Unknown,https://cheetah.org/resource-library/2010-annual-report/
PT-2010-006,Seizure,16/02/2010,02/04/2014,T,Middle East,Jordan,Al Omari,Border crossing,,Saudi Arabia,Syria,C,Video,C,Rescue center or Zoo,B,C,Media,"Jordan Times, Ammon News (JOR)",16,2,2010,,,4,Live,"cubs being smuggled from Saudi Arabia in two small straw baskets were found in a car from Saudi Arabia destined for Syria, confiscated by Jordanian authorities.",4,0,4,0,0,,"Jordan Customs Department collected JD20,300 (28500 USD) in fines on four smuggled cheetah cubs. The cubs were sent to the Royal Society for the Conservation of Nature. ",Customs,Unknown,http://www.jordantimes.com/index.php?news=24062; https://www.youtube.com/watch?v=hn5ig4VlvYk
PT-2010-007,Seizure,27/02/2010,23/10/2015,O,East Africa,Kenya,Nakuru,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,27,2,2010,,,2,Skin,"Transported on land as luggage, confiscated by KWS",2,0,0,2,0,,2 arrested 2 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-008,Seizure,03/03/2010,23/10/2015,O,East Africa,Kenya,Garissa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,3,3,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,3 arrested 3 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-009,Seizure,16/03/2010,28/08/2012,T,Americas,USA,,Unknown,,China,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,16,3,2010,,,~,Other,"2 Medicinal products traveling from China, confiscated by USFWS (unknown full units). Purpose: P (personal)",2,0,0,~,0,,,USFWS,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-010,Possession/trade,08/04/2010,28/08/2012,D,Middle East,UAE,,Unknown,,,,B,Zoo,A,Zoo or rescue center,A,B,Database,Int'l Cheetah Studbook (2010),8,4,2010,,,2,Live,2-mo cubs of Unk Birth Type transferred to zoo,0,0,2,0,0,"Later transf to ""Private"" 2011",Not reported as confiscation,Does not apply,Unknown,http://www.cites.org/sites/default/files/eng/com/sc/65/E-SC65-39-Add.pdf
PT-2010-011,Seizure,11/04/2010,23/10/2015,O,East Africa,Kenya,Mombasa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,11,4,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,1 arrested 1 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-012,Possession/trade,24/04/2010,28/08/2012,D,Middle East,UAE,,Unknown,,,,B,Zoo,A,Zoo or rescue center,A,B,Database,Int'l Cheetah Studbook (2010),24,4,2010,,,1,Live,3-mo cubs of Unk Birth Type transferred to zoo,0,0,1,0,0,,Not reported as confiscation,Does not apply,Unknown,
PT-2010-013,Possession/trade,15/05/2010,15/05/2010,T/D,Middle East,Saudi Arabia,Jeddah,Private home,,,Jordan,D,None,C,Original source,F,D,Email,Buyer (08) (in litt. 2010),15,5,2010,,-1,5,Live,"Man purchased ~3-mo. cheetah cub to ""rescue"" it from poor conditions; requested advice. ""They had 4 other healthy cheetah cubs a few weeks older than mine"" ""i bought the cheetah for around $7000 and was wondering if i could keep it for a while""",0,0,1,0,4,Requested further infomation (pictures); suggested veterinary assistance and contacted various organizations in the area.,Cub was presumably transferred to Jordan but no records found on CITES trade DB or studbook of transfers to Jordan that year. ,Does not apply,Unknown,
PT-2010-014,Seizure,15/05/2010,23/10/2015,O,East Africa,Kenya,Narok,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,15,5,2010,,,3,Skin,"Transported on land as luggage, confiscated by KWS",3,0,0,3,0,,"3 arrested 3 prosecuted for Illegal  possession and dealing.  3 given 12 months imprisonment or Kshs 5,000 in default",Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-015,Seizure,03/06/2010,23/10/2015,O,East Africa,Kenya,Meru,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,3,6,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,No arrest  ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-016,Seizure,11/06/2010,28/08/2012,D,Middle East,UAE,Dubai,Airport,Somalia/Somaliland,,,A,Seizure,A,Original source,A,B,Web site/Direct,"CITES Trade DB, MA SC65",11,6,2010,,,15,Live,"Live cheetah fr SO. ""The Ministry of Environment and Water Thursday confiscated 15 cheetahs that were illegally shipped from Somalia."" UAE News; ""On flight from Somalia: 15 cheetah cubs smuggled by two Emiratis and one Somali stopped at airport in Dubai. Only five survived (4-7 weeks' old). Confiscated by Ministry of Interior """,15,0,4,11,0,,"""The shipment was seized and necessary procedures will be taken. We will also provide the cheetahs with necessary care and install electronic chips to identify them"" UAE News: ""Nine cubs reported alive at time of confiscation. Five more appear to have died later on."" 9-Jun-10: Remaining four cheetahs under care of local zoo.",Ministry of Interior,Unknown,"http://gulfnews.com/news/uae/environment/illegal-shipment-of-cheetahs-confiscated-in-dubai-1.639598, http://www.thenational.ae/news/uae-news/health/airport-stops-illegal-effort-to-import-cheetah-cubs, https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf"
PT-2010-017,Possession/trade,08/08/2010,08/08/2010,T/D,Middle East,Jordan,,Farm,,,,D,None,C,Original source,F,D,Email,Buyer (08) (in litt. 2010),8,8,2010,,-1,4,Live,"cubs reported by man who sent a cheetah cub (see PT-2010-008) ""it to a very big farm in jordan that had experience in big cats including the cheetah...they had 4 other healthy cheetah cubs a few weeks older than mine""",0,0,0,0,4,,Looked for records of births or transfers with Jordan; none found.,Does not apply,Unknown,
PT-2010-018,Possession/trade,13/08/2010,05/10/2020,O,Southern Africa,Namibia,Swakopmund,Unknown,,,,A,Direct,C,Original source,A,D,Report,CCF,13,8,2010,,,1,Live,"collared male from the South, found in Swakopmund without looking like he made it all on foot – suspected illegal transport",1,0,1,0,0,,Transferred to rescue center. Studbook # on file. ,Unknown,Unknown,
PT-2010-019,Possession/trade,25/08/2010,03/02/2011,O/T,East Africa,Somaliland,Hargeisa,Private home,,,,B,Direct,C,Original source,A,D,Email,Independent Field Researcher (13) (in litt. 2010),25,8,2010,,,3,Live,"cubs in a house. They did not appear to be pets but rather in transit to another place. Prices I have heard quoted are $5000-10,000 per cub. ""I was not even allowed to photograph them since the guy wasnt totally convinced that I had no connection to any law enforcement.""",0,0,0,0,3,,,Does not apply,Unknown,
PT-2010-020,Seizure,17/09/2010,23/10/2015,O,East Africa,Kenya,Mombasa,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,17,9,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,2 arrested 2 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-021,Possession/trade,01/10/2010,14/05/2016,O/T,East Africa,Somaliland,Beira Hills,Rural area,,,,B,Field survey,C,Original source,B,C,Field report,"Current Status of Antelopes in Somaliland (D. Mallon, A. Jama)",1,10,2010,,,2,Live,"cubs that had been caught by a poacher in the same general area (on Current Status of Antelopes in Somaliland, p 18)",0,0,0,0,2,Purchased the cubs and returned to where they were taken.,"""Two days later, tracks of an adult and two young were found and it was hoped that the female had located the cubs."" ",Does not apply,Unknown,http://cmsdata.iucn.org/downloads/antelope_status_somaliland_2015_final.pdf
PT-2010-022,Possession/trade,10/10/2010,10/10/2010,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,E,No image,E,Original source,F,C,eCommerce,haraj.com.sa,10,10,2010,,,1,Live,(Code 692-001): Age: Unk; Sex: 1U; Price: Unk ,0,0,0,0,1,,,Does not apply,POI/WB-692,
PT-2010-023,Seizure,11/10/2010,23/02/2014,O/T,East Africa,Somalia,Garowe,Government building,,,,D,Unable to verify,D,Original source,A,D,Email,RWCP (in litt. 2014),11,10,2010,,,1,Live,German report – tells of ‘Fundtier’ [a found animal] at Ministry of Livestock and Animal Husbandry in Garowe on 11. October 2010. – ill but unknown fate,1,0,0,0,1,,"The animal in the report was said to be dropped of as ""found"" at Ministry . However, it was suffering diarrhoea and was in bad shape and it is unknown, what happened to this animal!",Unknown,Unknown,
PT-2010-024,Seizure,04/11/2010,23/10/2015,O,East Africa,Kenya,Mombasa,Local market,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,4,11,2010,,,1,Skin,Transported on land as luggage,1,0,0,1,0,,1 arrested 1 prosecuted for Illegal  possession and dealing ,Kenya Wildlife Service,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-025,Possession/trade,24/11/2010,29/06/2018,T/D,Middle East,Saudi Arabia,,Online,,,,D,Image search,E,Original source,F,C,eCommerce,albrari.com,24,11,2010,,,2,Live,(Code 110-001): Age: 3M; Sex: 2U; Price: 15000 SAR?,0,0,0,0,2,,,Does not apply,POI/WB-110,
PT-2010-026,Seizure,01/12/2010,22/12/2011,O/T,East Africa,Somaliland,Zeila or Zaila,Port city,Ethiopia,,,D,Official communication,A,Min Environment,A,A,Email,SLD field team,1,12,2010,,+/-1,3,Live,Cubs confiscated. In this connection three Ethiopian nationals have been arrested for a short period. ,3,0,0,3,0,,"One cub died in Zeila, the other two have been taken over by the regional environment co-ordinator and transferred to Boroma. One cub died after short time; the third was kept under unfavorable conditions and died after some weeks.",Unknown,Unknown,
PT-2010-027,Possession/trade,09/12/2010,13/01/2015,D,Middle East,UAE,Sharjah,Streets,,,,A,Photos. ICSB,C,Zoo or rescue facility,B,C,Media,Gulf News,9,12,2010,,,1,Live,2 year-old female cheetah roaming city streets ...the animal was an illegal cargo and might have swam to the shore after jumping off the dhow that was being used to smuggle it into the country to be sold as an exotic pet.,0,0,1,0,0,,7-Dec-10: Cheetah was transferred to a facility. Studbook # on file. Not reported as confiscation.,Does not apply,Unknown,http://gulfnews.com/news/gulf/uae/general/the-mystery-of-the-cheetah-that-roamed-sharjah-1.726442
PT-2010-028,Possession/trade,08/12/2010,30/09/2020,T/D,Middle East,Saudi Arabia,,Online,,,,E,No image,E,Original source,F,C,eCommerce,aswaqcity.com,8,12,2010,,,1,Live,(Code 604-001): Age: 2M; Sex: 1M; Price: 25000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-604,
PT-2010-029,Seizure,12/12/2010,23/10/2015,O,East Africa,Kenya,Nyandarua,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,12,12,2010,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,3 arrested 3 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2010-030,Possession/trade,20/12/2010,24/01/2017,T/D,Middle East,Saudi Arabia,Riyadh,Online,,,,E,Unable to verify,E,Original source,F,C,eCommerce,mekshat.com,20,12,2010,,,1,Live,(Code 129-001): Age: 1.5Y; Sex: 1F; Price: 55000 SAR,0,0,0,0,1,,,Does not apply,POI/WB-129,
PT-2010-031,Seizure,21/12/2010,27/08/2020,D,Europe,Spain,,Unknown,,,,A,Official report,A,CITES Biennial report,A,B,Report,CITES MA,31,12,2010,,-12,~,Other,1 part or derivate on CITES biennial report (page 229),1,0,0,~,0,,,Unknown,Unknown,https://cites.org/sites/default/files/reports/09-10Spain.pdf
PT-2010-032,Possession/trade,27/12/2010,27/12/2010,D,Middle East,Kuwait,Kuwait City,Zoo,,,,D,Known location from previous seizure,D,Original source,F,D,Email,Witness (05) (in litt. 2010),27,12,2010,,,10,Live,"Knows of someone who has at least 10 cheetahs for sale (name on file), he has a crocodile farm in Kuwait located in Aqua Park. Same place as cheetahs confiscated in 2-Jul-2008.",0,0,0,0,10,"Reported to US Embassy. Same location as report of July 2, 2008.",Embassy unable not follow up due to park seasonal closure.,Does not apply,POI-26,
PT-2010-033,Seizure,31/12/2010,16/01/2020,O,East Africa,Kenya,,Unknown,,,,B,Seizure,A,Kenya Wildlife Service official,A,C,Report,TRAFFIC Kenya Report,31,12,2010,,-12,80,Skin,recovered (92 reported but deducting 12 reported to CITES),80,0,0,80,0,,"Page 26 - Figure 16. Cheetah skins recovered in Kenya, 2010–2014. Source: R. Muasya of KWS in litt. during the Kenya Wildlife Poaching and Trafficking Stakeholder Workshop April 2015",Kenya Wildlife Service (KWS),Unknown,https://www.traffic.org/site/assets/files/2410/kenya-wildlife-trafficking-report.pdf
PT-2010-034,Seizure,31/12/2010,17/10/2020,D,Middle East,Kuwait,,Unknown,,,,A,Official report,A,Original source,A,A,Report,CITES Biennial Report 2009-10,31,12,2012,,-24,1,Unk,Report does not specify unit type,1,0,0,0,1,,,Unknown,Unknown,https://cites.org/sites/default/files/reports/09-10Kuwait.pdf
PT-2011-001,Seizure,01/01/2011,22/12/2011,O/T,East Africa,Somaliland,Zeila or Zaila,Port city,,,,E,Unable to verify,A,Min Environment,A,A,Email,SLD field team,1,1,2011,,+/-1,10,Live,Report of a case in early 2011 / late 2010 where 10 cheetah cubs were confiscated in the Zeila area.,10,0,0,10,0,,All the cubs died  at the Zeila police station.,Zeila Police,Unknown,
PT-2011-002,Possession/trade,03/01/2011,04/01/2011,T/D,Middle East,Saudi Arabia,Riyadh,Streets,,,,C,Photos,D,Emirates 24/7 (AE),B,C,Media,Arabian Peninsula News ,3,1,2011,,,1,Live,Cheetah roaming Riyadh street shot dead by police at bank parking lot --The animal is believed to have escaped from a cage in a nearby villa. ,0,0,0,1,0,"Shot by Ryadh Police. The bank's official said that the corpse was taken by the owner, but eyewitnesses said the police were still looking for the animal's owner. ",Unconfirmed outcome.,Does not apply,Unknown,"http://www.arabnews.com/node/364635, https://www.emirates247.com/news/region/strolling-cheetah-killed-near-saudi-bank-2011-01-04-1.337770"
PT-2011-003,Seizure,19/01/2011,24/01/2011,O,East Africa,Ethiopia,Dire Dawa City,Rural area,,,Somaliland,A,Direct,C,Rescue center or Zoo,B,C,Media,Addis Fortune (ETH) - republished by Somaliland Times (SLD),19,1,2011,,,5,Live,"Officials at the Ethiopian Revenues and Customs Authority (ERCA) confiscated five cubs (one was dead) last week in Denbel Arapea, in Dire Dawa City, while allegedly being smuggled to Somaliland. ",5,0,4,1,0,,"Four surviving cubs handed over to the Born Free Foundation Ethiopia. Males: SB# 8535 Timkat, 8536 Dembel, 8537 Kuching (+ Mar2012), Fem: 8538 Arapea",Officials at the Ethiopian Revenues and Customs Authority (ERCA) ,Unknown,http://addisfortune.com/Vol_10_No_560_Archive/Tax%20Auth.%20Confiscates%20Cheetah%20Cubs.htm; http://www.somalilandtimes.net/sl/2011/470/8.shtml
PT-2011-005,Possession/trade,07/02/2011,23/07/2017,D,So Asia,Pakistan,,Online,,,,D,Image search,E,Original source,C,C,Social Media,facebook.com,7,2,2011,,,1,Skin,(Code 578-001): Age: Adult; Sex: 1U; Price: Unk,0,0,0,1,0,,,Does not apply,POI/WB-578,
PT-2011-006,Seizure,03/05/2011,23/10/2015,T/D,Middle East,Saudi Arabia,,Unknown,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,3,5,2011,,,1,Live,live cheetah (details not provided),1,0,0,0,1,,Not on CITES DB,Unknown,Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-007,Seizure,09/03/2011,23/10/2015,O,East Africa,Kenya,Kitui,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,9,3,2011,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,1 arrested 1 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-008,Seizure,19/03/2011,23/10/2015,O,East Africa,Kenya,Nairobi,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,19,3,2011,,,4,Skin,"Transported on land as luggage, confiscated by KWS",4,0,0,4,0,,2 arrested 2 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-009,Seizure,22/03/2011,23/10/2015,O,East Africa,Kenya,Meru,Local market,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,22,3,2011,,,2,Live,"cub, Kenya - Local market, Illegally Caged, confiscated by KWS",2,0,0,0,2,,No arrest  ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-010,Seizure,30/03/2011,04/04/2011,O,East Africa,Tanzania,Arusha,Rural area,,,,A,Seizure,A,"Anti-Poaching Unit, CITES MA",A,C,Media,Wildlife Extra,30,3,2011,,,3,Live,"Arrested poacher trying to transfer three adult cheetahs (2M, 1F)  illegally. ""Despite the woman’s adamant refusal to talk, it is very likely that these cheetah were intended for sport hunting"" (SWARA, Ogada). Arrested by Wildlife Division.",3,0,3,0,0,Two individuals arrested for illegal posession.,Cheetahs were released in Taranagire Nat Park,Anti-poaching unit,"POI-22, POI-23","http://www.wildlifeextra.com/go/news/smuggled-cheetahs.html#cr, https://www.wildlex.org/search?q=cheetah"
PT-2011-011,Possession/trade,31/03/2011,06/07/2020,O/T,Southern Africa,South Africa,North West Province,Unknown,,,,A,Report,A,Dept Env Affairs,A,B,Report,SA National Environmental Compliance & Enforcement Report 2010-11 ,31,3,2011,,-12,3,Live,Keeping of 3 cheetahs without a permit and non-compliance with fencing specification,UNK,0,3,0,0,Not clear whether the animals were seized.,"Fine of R5000. Legislation: NEMBA Sec 57 (1), TOPS Reg 73, 74",Unknown,Unknown,https://www.environment.gov.za/sites/default/files/docs/necer2010_11report.pdf
PT-2011-012,Seizure,21/04/2011,23/10/2015,O,East Africa,Kenya,Taita Taveta,Local market,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,21,4,2011,,,1,Live,"cub, Kenya - Local market, Illegally caged, confiscated by KWS",1,0,0,0,1,,No arrest  ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-013,Seizure,30/04/2011,30/04/2011,O/T,East Africa,Somaliland,Hargeisa,Private home,,,,A,Direct/Photos,C,Original source,A,A,Email,SLD field team,30,4,2011,,,2,Live,"~2 months' old live cubs confiscated from dealer. Poacher spent two days in jail and was released. ""i hear there is one guy who is selling cheetahs for Arabs country """,2,0,0,2,0,,One cub died on 25 May. The other cub died four days later. They were malnourished and one had a foot injury.,Unknown,Unknown,
PT-2011-014,Possession/trade,03/05/2011,03/05/2011,O/T,East Africa,Somaliland,Hargeisa,Unknown,,,,A,Direct/Photos,C,Original source,A,A,Email,SLD field team,3,5,2011,,,2,Live,3- and 5-months' old cheetah pictures shown to informant on dealer's cell phone (same as 30-Apr-11).,0,0,0,0,2,"""he said to me that he always send them to Yemen, soudi Arabia, and dubia. he buy them like 500$ each from the guys who bring for him from the wild, and sell them 1500 each and send them. he has been doing this for like 15 years and thats what he do actually"" ",Contacted Born Free Fdn but they were unable to help. He is asking $450.,Does not apply,Unknown,
PT-2011-015,Possession/trade,07/05/2011,04/09/2016,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,facebook.com,7,5,2011,,,1,Live,(Code 319-001): Age: Adult; Sex: 1U; Price: pet?,0,0,0,0,1,,,Does not apply,POI/WB-319,
PT-2011-016,Possession/trade,19/05/2011,19/09/2015,D,Middle East,UAE,,Online,,,,D,Image search. Known Individual.,E,Original source,B,C,Social Media,flickr.com,19,5,2011,,,1,Live,(Code 381-001): Age: Adult; Sex: 1U; Price: Pet?,0,0,0,0,1,,,Does not apply,POI/WB-381,
PT-2011-017,Possession/trade,22/05/2011,22/05/2011,D,Middle East,UAE,Dubai,Private home,,,,D,None,C,Original source,F,D,Email,Buyer (11) (in litt. 2011),22,5,2011,,,4,Live,Cubs bred privately without permissions ( ~7-mo old). Tooik one away (Kehaylan) from a bunch of kids that were trying to sell it. They say it has been breed locally and given to them as a gift. They refused to feed it well and were not treating it. I adopted the cheetah and since gave it the medication and vaccination it needs to date. Adopted one of the cubs to send to rescue centre but not accepted for lack of CITES documentation.,0,0,1,0,3,Referred him to captive facilities in UAE. ,"23 May: Per one of the facilities, a facility is taking the animal on Thursday. Transfer was not found on ISB records.",Does not apply,Unknown,
PT-2011-018,Possession/trade,26/05/2011,26/05/2011,O/T,East Africa,Somaliland,Hargeisa,Private home,,,,A,Direct/Photos,C,Original source,A,A,Email,SLD field team,26,5,2011,,,1,Live,"cub (~8 months) kept in small cage, selling for US$300.",0,0,0,0,1,Cheetah put under SLD team's care but without appropriate food/medicine.,"Cheetah was taken back by ""owners"" to be sold in Djibouti. July 2011.",Does not apply,Unknown,
PT-2011-019,Seizure,29/05/2011,26/04/2014,D,Middle East,UAE,Abu Dhabi,Streets,,,,A,Seizure,A,CITES Natl Authority,B,B,Media,GlobalPost,29,5,2011,,,1,Live,"7-8 months' old cheetah found prowling streets of Abu Dhabi's Karama area, reported to the Khaldiyah Police Station. Assumed it escaped from a house.  Confiscated by Ministry of Interior.",1,0,1,0,0,"Believed to be same as reported on CITES questionnaire and SC65 Doc. 39 (Rev. 2), Addendum. ","Transferred to rescue center. Broken paw; de-clawed, malnourished. Not on ISB.",Ministry of Interior,Unknown,http://www.globalpost.com/dispatch/news/green/wildlife-news/110529/uae-abu-dhabi-cheetah-the-loose-wildlife-smuggling
PT-2011-020,Possession/trade,07/06/2011,07/06/2011,O/T,East Africa,Somaliland,,Rural area,,,,D,Cubs died. Unable to verify.,C,Informant,A,A,Email,SLD field team,7,6,2011,,,2,Live,cubs. Dead. People trying to sell them took them away from the town and threw them away. They came from far countryside.,0,0,0,2,0,,No details provided on disposal.,Does not apply,Unknown,
PT-2011-021,Seizure,09/06/2011,23/10/2015,O,East Africa,Kenya,Meru,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,9,6,2011,,,1,Skin,"Transported on land as luggage, confiscated by KWS",1,0,0,1,0,,No arrest  ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-022,Seizure,11/06/2011,23/10/2015,O,East Africa,Kenya,Narok,Rural area,,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,11,6,2011,,,2,Skin,"Transported on land as luggage, confiscated by KWS",2,0,0,2,0,,3 arrested 3 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-023,Seizure,17/06/2011,23/10/2015,O,East Africa,Kenya,Namanga,Border crossing,To or from Tanzania,,,A,Seizure,A,Original source,A,B,Web site/Direct,CITES MA,17,6,2011,,,1,Skin,"Transported on land as luggage, confiscated by KWS. Namanga is near Kenya-Tanzania border.",1,0,0,1,0,,1 arrested 1 prosecuted for Illegal  possession and dealing.   ,Kenya Wildlife Service (KWS),Unknown,https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf
PT-2011-024,Possession/trade,05/07/2011,06/10/2015,T/D,Middle East,Saudi Arabia,,Online,,,,D,Video,E,Original source,B,C,Social Media,youtube.com,5,7,2011,,,1,Live,(Code 361-004): Age: 5M; Sex: 1U; Price: UNK,0,0,0,0,1,,,Does not apply,POI/WB-361,
PT-2011-025,Possession/trade,19/07/2011,09/01/2016,D,Middle East,UAE,Abu Dhabi,Online,,,,D,Image search,E,Original source,F,C,eCommerce,uaesouqs.com,19,7,2011,,,3,Live,(Code 460-001): Age: 3.5M; Sex: 3U; Price: 25000 AED,0,0,0,0,3,,,Does not apply,POI/WB-460,
